DEPTH,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESS,SP,TEMP,TENS
128.778,8.5,,,,,,,,,,,,
128.9304,8.5,,,,,,,,,,,,
129.0828,8.5,,,,,,,,,,,,
129.2352,8.5,,,,,,,,,,,,
129.3876,8.5,,,,,,,,,,,,
129.54,8.5,,,,,,,,,,,,
129.6924,8.5,,,,,,,,,,,,
129.8448,8.5,,,,,,,,,,,,
129.9972,8.5,,,,,,,,,,,,
130.1496,8.5,,,,,,,,,,,,
130.302,8.5,,,,,,,,,,,,
130.4544,8.5,,,,,,,,,,,,
130.6068,8.5,,,,,,,,,,,,
130.7592,8.5,,,,,,,,,,,,
130.9116,8.5,,,,,,,,,,,,
131.064,8.5,,,,,,,,,,,,
131.2164,8.5,,,,,,,,,,,,
131.3688,8.5,,,,,,,,,,,,
131.5212,8.5,,,,,,,,,,,,
131.6736,8.5,,,,,,,,,,,,
131.826,8.5,,,,,,,,,,,,
131.9784,8.5,,,,,,,,,,,,
132.1308,8.5,,,,,,,,,,,,
132.2832,8.5,,,,,,,,,,,,
132.4356,8.5,,,,,,,,,,,,
132.588,8.5,,,,,,,,,,,,
132.7404,8.5,,,,,,,,,,,,
132.8928,8.5,,,,,,,,,,,,
133.0452,8.5,,,,,,,,,,,,
133.1976,8.5,,,,,,,,,,,,
133.35,8.5,,,,,,,,,,,,
133.5024,8.5,,,,,,,,,,,,
133.6548,8.5,,,,,,,,,,,,
133.8072,8.5,,,,,,,,,,,,
133.9596,8.5,,,,,,,,,,,,
134.112,8.5,,,,,,,,,,,,
134.2644,8.5,,,,,,,,,,,,
134.4168,8.5,,,,,,,,,,,,
134.5692,8.5,,,,,,,,,,,,
134.7216,8.5,,,,,,,,,,,,
134.874,8.5,,,,,,,,,,,,
135.0264,8.5,,,,,,,,,,,,
135.1788,8.5,,,,,,,,,,,,
135.3312,8.5,,,,,,,,,,,,
135.4836,8.5,,,,,,,,,,,,
135.636,8.5,,,,,,,,,,,,
135.7884,8.5,,,,,,,,,,,,
135.9408,8.5,,,,,,,,,,,,
136.0932,8.5,,,,,,,,,,,,
136.2456,8.5,,,,,,,,,,,,
136.398,8.5,,,,,,,,,,,,
136.5504,8.5,,,,,,,,,,,,
136.7028,8.5,,,,,,,,,,,,
136.8552,8.5,,,,,,,,,,,,
137.0076,8.5,,,,,,,,,,,,
137.16,8.5,,,,,,,,,,,,
137.3124,8.5,,,,,,,,,,,,
137.4648,8.5,,,,,,,,,,,,
137.6172,8.5,,,,,,,,,,,,
137.7696,8.5,,,,,,,,,,,,
137.922,8.5,,,,,,,,,,,,
138.0744,8.5,,,,,,,,,,,,
138.2268,8.5,,,,,,,,,,,,
138.3792,8.5,,,,,,,,,,,,
138.5316,8.5,,,,,,,,,,,,
138.684,8.5,,,,,,,,,,,,
138.8364,8.5,,,,,,,,,,,,
138.9888,8.5,,,,,,,,,,,,
139.1412,8.5,,,,,,,,,,,,
139.2936,8.5,,,,,,,,,,,,
139.446,8.5,,,,,,,,,,,,
139.5984,8.5,,,,,,,,,,,,
139.7508,8.5,,,,,,,,,,,,
139.9032,8.5,,,,,,,,,,,,
140.0556,8.5,,,,,,,,,,,,
140.208,8.5,,,,,,,,,,,,
140.3604,8.5,,,,,,,,,,,,
140.5128,8.5,,,,,,,,,,,,
140.6652,8.5,,,,,,,,,,,,
140.8176,8.5,,,,,,,,,,,,
140.97,8.5,,,,,,,,,,,,
141.1224,8.5,,,,,,,,,,,,
141.2748,8.5,,,,,,,,,,,,
141.4272,8.5,,,,,,,,,,,,
141.5796,8.5,,,,,,,,,,,,
141.732,8.5,,,,,,,,,,,,
141.8844,8.5,,,,,,,,,,,,
142.0368,8.5,,,,,,,,,,,,
142.1892,8.5,,,,,,,,,,,,
142.3416,8.5,,,,,,,,,,,,
142.494,8.5,,,,,,,,,,,,
142.6464,8.5,,,,,,,,,,,,
142.7988,8.5,,,,,,,,,,,,
142.9512,8.5,,,,,,,,,,,,
143.1036,8.5,,,,,,,,,,,,
143.256,8.5,,,,,,,,,,,,
143.4084,8.5,,,,,,,,,,,,
143.5608,8.5,,,,,,,,,,,,
143.7132,8.5,,,,,,,,,,,,
143.8656,8.5,,,,,,,,,,,,
144.018,8.5,,,,,,,,,,,,
144.1704,8.5,,,,,,,,,,,,
144.3228,8.5,,,,,,,,,,,,
144.4752,8.5,,,,,,,,,,,,
144.6276,8.5,,,,,,,,,,,,
144.78,8.5,,,,,,,,,,,,
144.9324,8.5,,,,,,,,,,,,
145.0848,8.5,,,,,,,,,,,,
145.2372,8.5,,,,,,,,,,,,
145.3896,8.5,,,,,,,,,,,,
145.542,8.5,,,,,,,,,,,,
145.6944,8.5,,,,,,,,,,,,
145.8468,8.5,,,,,,,,,,,,
145.9992,8.5,,,,,,,,,,,,
146.1516,8.5,,,,,,,,,,,,
146.304,8.5,,,,,,,,,,,,
146.4564,8.5,,,,,,,,,,,,
146.6088,8.5,,,,,,,,,,,,
146.7612,8.5,,,,,,,,,,,,
146.9136,8.5,,,,,,,,,,,,
