DEPT,DSO8,DSOZ,DT,ECGR,HCAL,HDRA,PEF8,PEFZ,RLA1,RLA2,RLA3,RLA4,RLA5,RSO8,RSOZ,RT_HRLT,RXO8,RXOZ,TENS,TNPH
1667.8656,-0.01,0.0463,89.4041,115.4419,8.6693,-0.0067,3.2321,3.3085,5.1004,5.2095,5.3917,5.545,6.0689,0.0001,0.0001,6.4525,4.6263,4.6284,3805.9285,0.2881
1667.7132,-0.0101,0.0194,89.2088,116.2827,8.6578,-0.0047,3.2096,3.31,5.1102,5.2112,5.3959,5.5596,6.0745,0.0001,0.0001,6.461,4.5898,4.6167,3780.7859,0.2908
1667.5608,0.0083,0.0,88.9928,117.0511,8.6578,-0.0025,3.3947,3.3414,5.1324,5.2317,5.4128,5.5748,6.0824,0.0001,0.0001,6.4464,4.6126,4.6494,3824.2144,0.2825
1667.4084,-0.0045,0.0279,89.1491,115.8244,8.6423,-0.0027,3.4285,3.3823,5.2074,5.3101,5.4978,5.674,6.1677,0.0001,0.0001,6.5491,4.7505,4.7184,3847.4285,0.2847
1667.256,0.018,0.0279,89.4423,116.7581,8.6501,-0.0031,3.3274,3.3608,5.3044,5.3978,5.5841,5.7622,6.2653,0.0001,0.0001,6.632,4.764,4.7385,3791.929,0.2819
1667.1036,0.0441,0.0393,89.6988,117.5263,8.6501,-0.0056,3.3274,3.3745,5.212,5.2928,5.4646,5.6456,6.1442,0.0001,0.0001,6.4807,4.6697,4.6802,3793.7146,0.3036
1666.9512,0.0455,0.0593,90.0764,119.1904,8.6501,-0.0071,3.3933,3.4086,5.093,5.1713,5.3401,5.5181,6.0189,0.0001,0.0001,6.3505,4.633,4.6837,3812.0,0.2992
1666.7988,-0.032,0.0761,89.9832,119.3184,8.6501,-0.0081,3.2104,3.4773,5.1189,5.1801,5.3568,5.5272,6.0322,0.0001,0.0001,6.3484,4.7606,4.7273,3801.4617,0.2955
1666.6464,0.0056,0.0474,89.7459,119.7792,8.6655,-0.0057,3.4751,3.4706,5.1937,5.2661,5.4355,5.6083,6.1286,0.0001,0.0001,6.4524,4.7899,4.7694,3804.1428,0.2851
1666.494,0.0229,0.0376,89.3655,119.3434,8.6809,-0.004,3.442,3.4273,5.2063,5.2965,5.4582,5.6236,6.1476,0.0001,0.0001,6.4771,4.7061,4.7413,3789.0002,0.2809
1666.3416,-0.0086,0.0,89.2795,114.6003,8.6809,-0.002,3.4071,3.348,5.2031,5.275,5.4343,5.6001,6.1208,0.0001,0.0001,6.4267,4.6995,4.7465,3805.4287,0.2831
1666.1892,-0.0055,0.0,89.6816,114.5269,8.6924,-0.0009,3.2123,3.311,5.3254,5.3995,5.5691,5.722,6.2666,0.0001,0.0001,6.5793,4.8245,4.7595,3797.4287,0.2954
1666.0368,0.003,0.0,89.7219,115.8819,8.6809,0.001,3.2735,3.3087,5.1714,5.2399,5.4017,5.563,6.0871,0.0001,0.0001,6.3881,4.6781,4.6444,3785.6431,0.3008
1665.8844,0.0071,0.0,89.9706,123.889,8.6924,0.0014,3.428,3.3554,5.036,5.0994,5.2485,5.4078,5.9137,0.0001,0.0001,6.1953,4.4443,4.5325,3807.5,0.2979
