TVD,GR,T-TEMP,ROP
102.4128,58.0969,23.4455,9.8601
102.5652,58.363,23.4412,9.8076
102.7176,58.5651,23.4365,9.7131
102.87,58.1807,23.4319,9.6187
103.0224,57.7588,23.4685,9.5472
103.1748,58.928,23.4554,9.5898
103.3272,59.9501,23.4423,9.6325
103.4796,60.1797,23.4387,9.6752
103.632,61.1854,23.5069,8.1982
103.7844,62.2343,23.4965,6.5277
103.9368,61.9053,23.4706,4.8573
104.0892,62.3516,23.4763,9.6227
104.2416,61.3954,23.4897,18.5632
104.394,59.8102,23.4849,27.5037
104.5464,60.8218,23.4802,31.518
104.6988,59.6042,23.4915,25.3453
104.8512,59.2213,23.4826,19.1726
105.0036,58.2856,23.4736,13.3467
105.156,57.0323,23.4647,14.8159
105.3084,57.2951,23.4742,16.2852
105.4608,59.1725,23.4695,17.7544
105.6132,61.8971,23.4648,16.1954
105.7656,61.9556,23.4763,13.705
105.918,62.5513,23.4763,11.2146
106.0704,63.0953,23.4763,10.8584
106.2228,63.1653,23.4763,12.7757
106.3752,64.9371,23.4891,14.693
106.5276,64.935,23.4845,16.2628
106.68,64.9002,23.48,16.4731
106.8324,65.7092,23.5221,16.6835
106.9848,65.0764,23.5176,16.8938
107.1372,65.6596,23.5131,17.2392
107.2896,65.339,23.5086,17.5958
107.442,63.3039,23.5183,17.9524
107.5944,63.5913,23.5088,17.9801
107.7468,62.1795,23.4992,17.8247
107.8992,61.478,23.5215,17.6692
108.0516,63.3082,23.5169,17.6384
108.204,64.9714,23.5123,17.8273
108.3564,66.523,23.5078,18.0163
108.5088,67.9547,23.5469,18.1818
108.6612,67.8578,23.5374,18.0813
108.8136,65.2479,23.5278,17.9807
108.966,65.0958,23.567,17.8801
109.1184,62.9658,23.5625,18.0357
109.2708,62.7796,23.558,18.2551
109.4232,65.3512,23.5535,18.4746
109.5756,65.3305,23.5607,18.6355
109.728,65.3716,23.5517,18.7421
109.8804,64.9345,23.5427,18.8488
110.0328,64.1304,23.5663,18.8637
110.1852,64.4935,23.5617,18.5863
110.3376,64.8828,23.5572,18.3089
110.49,66.3694,23.553,18.0315
110.6424,66.1995,23.5908,18.4056
110.7948,66.2738,23.5812,18.808
110.9472,66.6873,23.5717,19.2104
111.0996,66.7171,23.6098,19.3896
111.252,67.4176,23.6003,19.4627
111.4044,67.0086,23.5908,19.5359
111.5568,66.5634,23.6276,19.5848
111.7092,66.6494,23.619,19.597
111.8616,66.2334,23.6104,19.6092
112.014,64.5586,23.6018,19.6282
112.1664,62.6169,23.6115,19.6983
112.3188,59.3386,23.6063,19.7684
112.4712,59.4137,23.601,19.8385
112.6236,60.4446,23.5958,19.7634
112.776,64.2078,23.5905,19.6597
112.9284,66.2376,23.5852,19.5561
113.0808,67.0839,23.705,19.2782
113.2332,67.174,23.7121,18.8606
113.3856,65.9803,23.6914,18.443
113.538,62.7495,23.6706,18.2855
113.6904,61.8887,23.6498,18.8159
113.8428,62.1959,23.6411,19.3463
113.9952,63.2252,23.637,19.8766
114.1476,64.7443,23.6328,18.3959
114.3,66.9547,23.6286,16.9023
114.4524,67.0526,23.6245,15.4087
114.6048,65.7666,23.6203,15.7841
114.7572,66.6998,23.6161,16.9119
114.9096,65.0361,23.6109,18.0397
115.062,63.5269,23.6039,18.7261
115.2144,64.6545,23.597,18.8328
115.3668,64.214,23.5901,18.9395
115.5192,63.3554,23.5843,19.0305
115.6716,62.9925,23.6539,19.0335
115.824,62.3153,23.6469,19.0366
115.9764,61.2996,23.6611,19.0396
116.1288,61.6161,23.6652,18.9073
116.2812,63.676,23.6694,18.7549
116.4336,64.3984,23.6735,18.6025
116.586,65.0218,23.6557,18.621
