DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDP4,HDP5,HDP6,HDPT,HVOL,AVOL,BIT
1860.3,50.785934,2514.648438,119.420654,0.305627,8.439094,0.027454,2.465607,3.306348,89.65451,-139.109146,1.621625,5.522333,5.545223,5.560537,5.579738,5.614467,5.63774,5.755075,0.127881,0.040199,8.5
1860.4,50.800064,2519.53125,120.58374,0.305915,8.468301,0.026723,2.464417,3.287102,89.601326,-139.054352,1.586523,5.579509,5.608377,5.627706,5.65196,5.695881,5.725351,5.873848,0.128954,0.041272,8.5
1860.5,50.762718,2509.765625,121.849609,0.308234,8.509838,0.026623,2.46125,3.281575,89.609978,-138.941696,1.777271,5.467895,5.494855,5.512903,5.535546,5.576538,5.604034,5.742769,0.130227,0.042545,8.5
1860.6,50.735626,2514.648438,120.872337,0.311024,8.551923,0.028068,2.459628,3.275959,89.707138,-138.859497,2.180683,5.336633,5.349889,5.358744,5.369834,5.389853,5.403242,5.47079,0.131255,0.043573,8.5
1860.7,50.80209,2524.414063,118.284439,0.31335,8.577054,0.029701,2.457339,3.296975,89.818924,-138.822968,2.736867,5.264,5.259652,5.256755,5.253137,5.246629,5.242295,5.220388,0.131707,0.044025,8.5
1860.8,50.777828,2524.414063,114.896767,0.314408,8.581393,0.03201,2.457322,3.326178,89.955452,-138.78035,3.231779,5.218522,5.193141,5.17629,5.155303,5.11774,5.09285,4.967051,0.131581,0.043899,8.5
1860.9,50.737263,2519.53125,113.160133,0.312167,8.568841,0.032621,2.454996,3.350606,90.060043,-138.75296,3.511464,5.265187,5.223715,5.196249,5.162119,5.101249,5.061069,4.857842,0.131011,0.043329,8.5
1861.0,50.790466,2519.53125,112.337296,0.305548,8.544188,0.032257,2.452917,3.357188,90.189453,-138.756012,3.451094,5.304306,5.25438,5.221357,5.18037,5.107404,5.059331,4.816332,0.130335,0.042654,8.5
1861.1,50.759796,2553.710938,112.029694,0.29786,8.524673,0.029379,2.445863,3.368593,90.319794,-138.765121,3.186519,5.371022,5.325407,5.295212,5.25771,5.190874,5.146789,4.923686,0.130108,0.042426,8.5
1861.2,50.763016,2578.125,111.504028,0.291651,8.529294,0.027323,2.440893,3.366915,90.471588,-138.713379,2.959658,5.277054,5.243242,5.220821,5.192929,5.1431,5.110146,4.943464,0.130558,0.042877,8.5
