DEPT,CALI,BS,GR,SP,DSO8,RSO8,RLA1,RLA2,RLA3,RLA4,RLA5,RT,DT,HDRA,PEF8,RHO8,TNPH,RXO8,TENS
73.152,3.778,8.5,34.927,,0.397,0.28,,,,,,,,0.171,8.93,2.154,0.697,0.051,
73.304,3.789,8.5,48.986,,0.397,0.281,,,,,,,,0.17,8.881,2.169,0.66,0.051,
73.457,3.766,8.5,43.1,,0.387,0.279,,,,,,,,0.172,8.741,2.157,0.664,0.051,
73.609,3.789,8.5,44.688,,0.403,0.286,,,,,,,,0.178,8.789,2.182,0.631,0.051,
73.762,3.789,8.5,41.407,,0.395,0.289,,,,,,,,0.182,8.717,2.159,0.688,0.051,
73.914,3.766,8.5,40.513,,0.399,0.284,,,,,,,,0.184,8.713,2.171,0.667,0.051,
74.066,3.766,8.5,41.067,,0.403,0.286,,,,,,,,0.181,8.612,2.179,0.788,0.051,
74.219,3.789,8.5,44.965,,0.428,0.28,,,,,,,,0.184,8.625,2.179,0.674,0.051,
74.371,3.789,8.5,40.852,,0.439,0.282,,,,,,,,0.187,8.62,2.197,0.641,0.051,
74.524,3.789,8.5,42.747,,0.464,0.291,,,,,,,,0.192,8.765,2.209,0.648,0.051,
74.676,3.781,8.5,47.405,,0.458,0.286,0.019,0.016,0.014,0.012,0.006,0.006,,0.196,8.849,2.214,0.626,0.051,
74.828,3.778,8.5,44.721,,0.424,0.29,0.017,0.015,0.013,0.011,0.005,0.005,,0.204,8.884,2.241,0.593,0.051,
74.981,3.789,8.5,44.688,,0.431,0.281,0.018,0.016,0.014,0.011,0.006,0.006,,0.206,8.81,2.245,0.59,0.051,
75.133,3.774,8.5,39.776,,0.405,0.282,0.017,0.014,0.012,0.01,0.005,0.005,,0.204,8.78,2.268,0.631,0.051,
75.286,3.766,8.5,43.977,,0.381,0.284,0.016,0.014,0.012,0.01,0.005,0.005,,0.194,8.855,2.243,0.784,0.051,
75.438,3.778,8.5,44.121,,0.379,0.282,0.017,0.014,0.012,0.01,0.005,0.005,,0.185,8.566,2.175,0.735,0.051,
75.59,3.778,8.5,44.583,,0.392,0.285,0.017,0.015,0.013,0.011,0.005,0.005,,0.176,8.711,2.184,0.615,0.051,
75.743,3.774,8.5,46.705,,0.395,0.287,0.016,0.014,0.012,0.01,0.005,0.005,,0.17,8.676,2.187,0.545,0.051,
75.895,3.789,8.5,40.806,,0.378,0.292,0.014,0.012,0.01,0.008,0.003,0.003,,0.171,8.738,2.181,0.577,0.051,
76.048,3.789,8.5,45.196,,0.376,0.292,0.021,0.018,0.016,0.013,0.008,0.008,,0.172,8.69,2.18,0.569,0.051,
76.2,3.774,8.5,49.385,,0.378,0.292,0.018,0.015,0.013,0.011,0.006,0.006,,0.178,8.595,2.169,0.644,0.051,
76.352,3.774,8.5,45.966,,0.4,0.291,0.018,0.015,0.013,0.011,0.006,0.006,,0.179,8.606,2.205,0.6,0.051,
76.505,3.781,8.5,49.021,,0.409,0.286,0.016,0.014,0.012,0.01,0.005,0.005,,0.182,8.543,2.219,0.668,0.051,
76.657,3.778,8.5,45.091,,0.433,0.286,0.012,0.011,0.009,0.008,0.003,0.003,,0.19,8.517,2.266,0.689,0.051,
76.81,3.789,8.5,34.659,,0.412,0.289,0.02,0.016,0.014,0.012,0.006,0.006,,0.203,8.547,2.355,0.633,0.051,
76.962,3.781,8.5,40.613,,0.372,0.293,0.019,0.016,0.014,0.012,0.006,0.006,,0.208,8.443,2.303,0.655,0.051,
77.114,3.781,8.5,43.385,,0.397,0.292,0.017,0.014,0.013,0.011,0.005,0.005,,0.202,8.088,2.199,0.579,0.051,
77.267,3.781,8.5,45.187,,0.434,0.291,0.017,0.015,0.013,0.011,0.005,0.005,,0.196,8.189,2.193,0.579,0.051,
