DEPT,GR
735.0,72.4449
735.5,73.3017
736.0,71.2939
736.5,72.4695
737.0,74.8356
737.5,75.7344
738.0,72.6193
738.5,72.6725
739.0,72.3402
739.5,72.6563
740.0,68.7524
740.5,66.9744
741.0,70.1687
741.5,73.272
742.0,73.7797
742.5,71.232
743.0,69.1256
743.5,68.3212
744.0,74.3771
744.5,73.3155
745.0,73.8604
745.5,76.0354
746.0,78.7319
746.5,75.8046
747.0,73.8049
747.5,73.6327
748.0,73.3021
748.5,74.4575
749.0,74.5773
749.5,71.649
750.0,64.8065
750.5,68.8157
751.0,74.6698
751.5,77.5427
752.0,78.5455
752.5,76.3641
753.0,77.2916
753.5,76.1405
754.0,78.1429
754.5,74.5522
755.0,76.8371
755.5,80.1753
756.0,80.5804
756.5,76.8022
757.0,79.991
757.5,81.2
758.0,75.1056
758.5,76.0486
759.0,79.4332
759.5,79.8445
760.0,75.3602
760.5,76.1622
761.0,77.605
761.5,76.3225
762.0,78.5876
762.5,75.0868
763.0,77.179
763.5,74.5885
764.0,81.243
764.5,78.3596
765.0,77.9464
765.5,76.2111
766.0,74.253
766.5,79.0759
767.0,76.5086
767.5,78.4259
768.0,78.9971
768.5,79.6919
769.0,75.2838
769.5,78.1313
770.0,78.1532
770.5,77.8645
771.0,77.9437
771.5,70.9488
772.0,49.1904
772.5,40.2024
773.0,45.6131
773.5,45.4447
774.0,45.0034
774.5,43.9737
775.0,43.8608
775.5,43.7171
776.0,45.3709
776.5,44.0463
777.0,43.1796
777.5,42.9897
778.0,44.4077
778.5,37.7788
779.0,36.6645
779.5,39.2452
780.0,41.5466
780.5,41.017
781.0,42.0655
781.5,44.4592
782.0,40.9917
782.5,45.3203
783.0,56.66
783.5,56.3198
784.0,55.7102
784.5,58.397
785.0,57.5034
785.5,58.2989
786.0,56.3614
786.5,62.6896
787.0,60.9971
787.5,58.6023
788.0,59.2078
788.5,58.5728
789.0,56.2769
789.5,57.0942
790.0,58.0265
790.5,59.273
791.0,59.2766
791.5,58.0775
792.0,57.6163
792.5,54.3392
793.0,52.846
793.5,53.755
794.0,53.8419
794.5,50.5305
795.0,52.251
795.5,50.1327
796.0,54.0868
796.5,53.1977
797.0,48.2302
797.5,47.5136
798.0,48.5642
798.5,42.8978
799.0,43.9207
799.5,46.2213
800.0,47.3568
800.5,50.3788
801.0,46.5512
801.5,45.3346
802.0,48.3974
802.5,57.2471
803.0,63.0873
803.5,64.8583
804.0,63.1702
804.5,65.7907
805.0,65.595
805.5,64.4303
806.0,60.4765
806.5,59.4748
807.0,52.1823
807.5,46.8626
808.0,44.2515
808.5,47.6718
809.0,48.4416
809.5,47.2612
810.0,50.111
810.5,51.6358
811.0,52.444
811.5,52.0603
812.0,51.9648
812.5,52.2773
813.0,52.1891
813.5,55.0352
814.0,52.3093
814.5,50.2349
815.0,52.4271
815.5,52.1052
816.0,52.997
816.5,55.7444
817.0,53.5606
817.5,50.2993
818.0,51.0285
818.5,53.596
819.0,51.3488
819.5,53.5128
820.0,53.109
