DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HDP3,HDPT,HDP4,HDP5,HDP6,HVOL,AVOL,HP01,HP02,BIT
1723.7,50.207852,3355.665306,129.688102,0.303971,8.88111,0.055758,2.489116,3.517478,88.08626,92.528073,3.97794,5.327986,5.201229,5.315339,5.292651,5.277579,0.14116,0.053478,5.35337,5.338125,8.5
1723.8,50.225516,3358.221921,129.966603,0.308693,8.882436,0.059062,2.497674,3.515056,87.901052,92.478653,4.04955,5.346728,5.149708,5.327001,5.291683,5.268272,0.1411,0.053418,5.386408,5.362564,8.5
1723.9,50.230248,3359.375,127.725736,0.312341,8.877292,0.060534,2.506702,3.512748,87.594472,92.435219,4.149953,5.522864,5.205706,5.490954,5.433992,5.396354,0.140785,0.053103,5.587255,5.548529,8.5
1724.0,50.232482,3355.605461,124.379847,0.314994,8.862541,0.05996,2.515259,3.50471,87.212093,92.362012,4.271937,5.760998,5.307995,5.715203,5.6337,5.580019,0.140289,0.052608,5.853704,5.7979,8.5
1724.1,50.245176,3354.492188,121.653542,0.314768,8.846067,0.054802,2.514288,3.49773,86.889036,92.324438,4.37916,5.934358,5.359305,5.875964,5.772306,5.704225,0.139851,0.052169,6.052905,5.981494,8.5
1724.2,50.244979,3358.301168,120.408724,0.311503,8.834858,0.048314,2.509096,3.484148,86.693955,92.354547,4.45353,5.871884,5.24733,5.808327,5.695656,5.621761,0.139575,0.051893,6.001091,5.923229,8.5
1724.3,50.283071,3359.375,119.613527,0.306855,8.82863,0.040292,2.496054,3.488854,86.689654,92.288334,4.47934,5.760692,5.149757,5.698557,5.588398,5.516144,0.139376,0.051694,5.887003,5.810888,8.5
1724.4,50.257656,3359.375,119.078791,0.303786,8.822276,0.034989,2.485101,3.504055,86.856467,92.336781,4.457456,5.63641,5.065362,5.578417,5.475531,5.407997,0.139172,0.051491,5.754212,5.683239,8.5
1724.5,50.25657,3363.242465,119.116176,0.303224,8.815732,0.032486,2.477458,3.506655,87.170057,92.430065,4.374677,5.631935,5.086312,5.576591,5.478337,5.413799,0.139006,0.051324,5.744279,5.676607,8.5
1724.6,50.254733,3352.597473,119.592962,0.304951,8.811727,0.032654,2.475581,3.47679,87.567631,92.493192,4.273625,5.549451,5.022678,5.496038,5.401184,5.33886,0.138928,0.051247,5.657842,5.592556,8.5
1724.7,50.242931,3341.797365,121.147894,0.309345,8.810841,0.032924,2.475247,3.435672,87.992233,92.521364,4.19238,5.409879,4.899685,5.35816,5.266308,5.205949,0.138925,0.051243,5.514821,5.451614,8.5
1724.8,50.261925,3355.544316,124.118661,0.313686,8.811516,0.031836,2.473037,3.396979,88.368273,92.618443,4.137344,5.369044,4.851451,5.316541,5.223326,5.162092,0.138975,0.051293,5.475612,5.41142,8.5
1724.9,50.26199,3367.263377,127.837028,0.316043,8.814027,0.031516,2.473335,3.353452,88.646866,92.596909,4.082982,5.401643,4.865198,5.347185,5.250539,5.187081,0.139116,0.051435,5.512231,5.445609,8.5
1725.0,50.275964,3373.103772,131.51432,0.314043,8.820497,0.031241,2.472963,3.320411,88.777253,92.554331,4.036497,5.470321,4.915486,5.413966,5.313986,5.248361,0.139394,0.051712,5.584797,5.515827,8.5
1725.1,50.252075,3362.077387,132.992153,0.31042,8.831607,0.034268,2.47952,3.319534,88.757878,92.49485,4.011134,5.423551,4.868923,5.367219,5.267292,5.20171,0.139768,0.052086,5.537994,5.469041,8.5
1725.2,50.261894,3371.377395,133.10582,0.305006,8.844182,0.039202,2.487965,3.339124,88.605854,92.473126,3.998015,5.439032,4.871051,5.381326,5.278994,5.211856,0.140125,0.052444,5.556307,5.485642,8.5
1725.3,50.22195,3370.003946,130.176689,0.300112,8.854169,0.046902,2.500133,3.347109,88.374567,92.458421,4.008062,5.498392,4.893356,5.436836,5.327767,5.256273,0.140354,0.052672,5.623604,5.548138,8.5
1725.4,50.269821,3369.140625,127.277247,0.294547,8.858606,0.052208,2.503402,3.336723,88.108752,92.49845,4.040001,5.528754,4.876234,5.462233,5.344508,5.267439,0.140402,0.05272,5.664237,5.582553,8.5
1725.5,50.291397,3369.140625,124.364821,0.289953,8.857176,0.056559,2.502987,3.320146,87.848569,92.547787,4.092994,5.623676,4.910931,5.55085,5.422132,5.337983,0.140249,0.052568,5.772211,5.682626,8.5
1725.6,50.27721,3373.215671,122.808888,0.284797,8.848934,0.058749,2.495084,3.294261,87.628073,92.573767,4.139979,5.698217,4.938127,5.620416,5.483043,5.393333,0.139906,0.052225,5.857065,5.761232,8.5
1725.7,50.304368,3382.210216,122.043322,0.28094,8.835488,0.062186,2.487052,3.274731,87.450217,92.582377,4.184603,5.637392,4.870903,5.558882,5.420311,5.329854,0.139469,0.051788,5.797752,5.700997,8.5
1725.8,50.294611,3396.124001,122.41833,0.279192,8.821297,0.066092,2.478326,3.261432,87.330904,92.56289,4.211599,5.554447,4.812591,5.478502,5.344411,5.256845,0.139082,0.051401,5.709508,5.615959,8.5
1725.9,50.306657,3398.4375,123.749265,0.282043,8.810984,0.069587,2.473348,3.268646,87.245826,92.528213,4.230423,5.399676,4.719504,5.330191,5.207365,5.127059,0.138835,0.051153,5.541377,5.455916,8.5
