DEPT,BS,CALI,GR,SP,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
697.687,8.5,9.651,102.078,-33.2,7.442,12.788,15.376,2.394,0.296,3.253,94.885
697.84,8.5,9.635,97.141,-33.296,6.032,9.804,11.691,2.366,0.32,3.244,96.415
697.992,8.5,9.643,99.687,-33.333,6.634,11.314,13.528,2.333,0.349,3.208,113.154
698.144,8.5,9.643,98.542,-33.16,6.758,11.305,13.379,2.304,0.373,3.128,117.38
698.297,8.5,9.713,106.497,-33.133,6.542,10.745,12.678,2.295,0.335,3.05,116.674
698.449,8.5,9.776,108.65,-33.242,6.981,12.128,14.328,2.286,0.355,2.983,117.883
698.602,8.5,9.839,110.1,-33.371,7.165,12.513,14.767,2.276,0.34,2.953,119.25
698.754,8.5,9.886,110.16,-33.575,7.06,12.036,14.195,2.274,0.39,2.931,119.981
698.906,8.5,9.972,108.293,-33.942,7.006,11.689,13.823,2.279,0.375,2.923,120.832
699.059,8.5,9.972,108.39,-34.094,6.454,10.149,11.938,2.294,0.39,2.944,120.283
699.211,8.5,10.003,104.384,-34.175,6.284,9.888,11.61,2.299,0.37,2.99,119.596
699.364,8.5,10.051,107.028,-34.354,6.604,10.677,12.554,2.306,0.386,3.038,119.455
699.516,8.5,10.113,105.994,-34.458,6.888,11.583,13.614,2.309,0.37,3.044,119.696
699.668,8.5,10.207,112.775,-34.414,7.21,12.534,14.628,2.317,0.356,3.021,119.857
699.821,8.5,10.278,113.63,-34.442,7.668,13.851,16.097,2.312,0.316,2.984,120.2
699.973,8.5,10.302,116.441,-34.225,7.694,13.803,15.989,2.303,0.31,2.971,120.266
700.126,8.5,10.313,111.608,-33.912,6.624,11.109,12.83,2.293,0.303,2.998,120.276
700.278,8.5,10.278,108.465,-33.594,6.088,9.364,10.798,2.291,0.335,3.036,120.683
700.43,8.5,10.286,109.608,-33.321,6.327,9.569,11.088,2.295,0.373,3.068,120.754
700.583,8.5,10.337,114.863,-33.362,6.949,11.161,13.066,2.295,0.382,3.077,121.143
700.735,8.5,10.451,118.689,-33.426,6.945,11.129,13.022,2.299,0.37,3.084,120.729
700.888,8.5,10.513,117.678,-33.508,6.911,10.781,12.578,2.297,0.358,3.078,120.095
701.04,8.5,10.56,118.014,-33.95,7.534,11.875,13.817,2.297,0.357,3.06,121.058
701.192,8.5,10.584,127.773,-34.417,8.509,13.499,15.671,2.296,0.344,3.034,122.087
701.345,8.5,10.623,128.23,-34.625,8.982,14.136,16.448,2.285,0.361,2.988,122.771
701.497,8.5,10.709,122.78,-34.892,9.024,13.279,15.453,2.279,0.376,2.957,123.81
701.65,8.5,10.702,106.83,-35.344,9.396,12.92,15.025,2.269,0.371,2.925,123.46
701.802,8.5,10.694,106.402,-35.333,10.979,14.137,16.398,2.268,0.384,2.942,122.518
701.954,8.5,10.709,107.591,-35.35,11.86,14.438,16.71,2.273,0.364,2.982,122.644
702.107,8.5,10.772,113.909,-35.371,10.699,12.266,14.167,2.273,0.351,3.03,122.702
702.259,8.5,10.819,111.517,-35.152,10.768,11.992,13.938,2.282,0.345,3.041,123.402
702.412,8.5,10.584,108.828,-35.225,11.07,12.372,14.373,2.277,0.361,2.993,123.841
702.564,8.5,10.466,107.455,-35.308,9.849,10.949,12.585,2.277,0.391,2.945,123.678
702.716,8.5,10.443,109.624,-35.418,8.565,9.615,11.046,2.274,0.401,2.942,122.559
702.869,8.5,10.454,111.958,-35.717,8.757,10.174,11.757,2.282,0.381,2.977,120.855
703.021,8.5,10.419,112.756,-35.9,8.998,10.311,11.866,2.294,0.391,3.004,119.934
703.174,8.5,10.443,110.083,-35.908,10.231,11.807,13.609,2.304,0.387,3.016,119.822
703.326,8.5,10.372,112.992,-35.463,10.674,12.304,14.265,2.304,0.422,3.0,120.328
703.478,8.5,10.356,112.036,-34.691,10.348,11.645,13.585,2.299,0.388,2.978,121.159
703.631,8.5,10.349,116.505,-34.371,10.215,11.468,13.392,2.292,0.369,2.933,122.67
703.783,8.5,10.36,112.245,-34.283,11.262,12.867,15.029,2.289,0.335,2.916,122.181
703.936,8.5,10.349,113.305,-34.047,11.614,13.26,15.527,2.292,0.328,2.914,121.919
704.088,8.5,10.349,115.213,-33.471,11.551,13.248,15.552,2.294,0.315,2.916,121.853
704.24,8.5,10.313,116.021,-32.942,11.189,13.337,15.741,2.291,0.33,2.921,122.594
704.393,8.5,10.231,114.263,-32.483,10.253,12.688,14.96,2.289,0.335,2.929,122.859
704.545,8.5,10.113,115.436,-32.008,8.913,11.426,13.491,2.282,0.348,2.934,122.7
704.698,8.5,10.078,124.564,-31.617,7.97,10.714,12.682,2.287,0.342,2.951,122.68
704.85,8.5,10.007,129.283,-31.321,7.118,10.22,12.123,2.295,0.339,2.969,121.739
705.002,8.5,9.925,125.961,-31.313,6.489,9.813,11.637,2.3,0.355,2.997,121.318
705.155,8.5,9.89,119.82,-31.457,6.361,10.298,12.241,2.298,0.338,3.005,121.355
705.307,8.5,9.854,113.682,-31.246,5.958,9.988,11.812,2.29,0.336,2.993,121.371
705.46,8.5,9.807,111.688,-31.104,5.653,9.614,11.333,2.287,0.329,2.956,120.362
705.612,8.5,9.749,106.36,-30.567,5.766,10.395,12.304,2.282,0.354,2.937,119.183
705.764,8.5,9.702,104.073,-30.233,5.534,10.133,11.927,2.282,0.352,2.971,118.843
705.917,8.5,9.678,103.407,-29.913,5.698,10.843,12.765,2.292,0.364,3.041,118.866
706.069,8.5,9.643,105.91,-29.691,5.947,12.058,14.283,2.299,0.356,3.074,119.754
706.222,8.5,9.596,110.067,-29.35,5.572,11.135,13.096,2.303,0.352,3.041,119.989
706.374,8.5,9.549,111.072,-28.746,5.347,10.594,12.483,2.294,0.352,2.989,119.752
706.526,8.5,9.502,111.283,-28.433,5.519,10.999,13.167,2.289,0.335,2.964,119.603
706.679,8.5,9.486,111.892,-28.375,5.111,9.371,11.221,2.283,0.333,2.95,119.318
706.831,8.5,9.49,111.513,-28.521,5.329,10.202,12.293,2.282,0.344,2.958,119.018
706.984,8.5,9.478,114.028,-29.038,5.432,10.643,12.846,2.279,0.343,2.98,119.141
707.136,8.5,9.502,116.645,-29.617,5.562,11.002,13.263,2.279,0.345,3.015,119.054
707.288,8.5,9.517,117.119,-30.199,5.785,11.72,14.036,2.276,0.326,3.031,119.02
707.441,8.5,9.541,117.224,-30.517,5.863,11.682,13.899,2.282,0.316,3.031,119.565
707.593,8.5,9.564,114.868,-30.542,5.879,11.762,14.034,2.284,0.316,3.029,119.613
707.746,8.5,9.619,117.605,-30.596,5.793,11.347,13.541,2.292,0.348,3.041,119.069
707.898,8.5,9.619,112.49,-30.612,5.968,11.757,14.189,2.285,0.375,3.042,118.7
708.05,8.5,9.643,114.004,-30.767,5.985,11.462,13.965,2.284,0.374,3.043,118.864
708.203,8.5,9.643,113.533,-30.967,5.733,10.057,12.225,2.284,0.363,3.007,119.201
708.355,8.5,9.682,115.784,-31.175,7.079,11.712,14.247,2.291,0.355,2.974,119.477
708.508,8.5,9.737,110.793,-31.086,6.202,10.635,13.028,2.287,0.368,2.94,120.285
708.66,8.5,9.819,102.602,-31.375,6.796,11.95,14.719,2.283,0.38,2.929,120.199
708.812,8.5,9.902,99.488,-31.733,7.549,13.036,15.495,2.282,0.38,2.935,120.143
708.965,8.5,9.941,105.386,-32.529,8.387,13.997,16.526,2.288,0.383,2.956,121.002
709.117,8.5,9.984,112.574,-33.125,9.042,14.062,16.35,2.29,0.377,2.984,121.642
709.27,8.5,9.972,119.971,-33.446,9.057,14.063,16.392,2.287,0.353,3.009,121.903
709.422,8.5,9.96,116.088,-33.567,8.484,12.867,15.27,2.29,0.342,3.017,121.648
709.574,8.5,9.902,114.351,-33.117,7.121,10.359,11.858,2.294,0.36,3.022,120.952
709.727,8.5,9.866,109.117,-32.629,7.393,10.824,12.561,2.291,0.379,3.026,119.958
709.879,8.5,9.831,109.821,-32.213,7.064,10.142,11.854,2.287,0.389,3.039,119.201
710.032,8.5,9.831,112.057,-32.016,6.797,9.744,11.319,2.29,0.36,3.052,119.087
710.184,8.5,9.847,112.637,-32.0,7.112,10.714,12.338,2.304,0.359,3.059,119.598
710.336,8.5,9.862,113.145,-31.958,7.63,12.149,13.921,2.299,0.335,3.045,119.95
710.489,8.5,9.878,111.467,-31.971,8.041,13.43,15.375,2.292,0.342,3.02,120.41
710.641,8.5,9.925,112.0,-32.175,7.602,12.543,14.369,2.28,0.34,2.988,120.533
