DEPT,ROP,GR
139.7508,0.771,51.2545
139.9032,0.7741,52.7349
140.0556,0.7162,53.6365
140.208,0.5648,51.1365
140.3604,0.4259,48.6365
140.5128,0.3619,50.4847
140.6652,0.316,53.818
140.8176,0.3045,55.4686
140.97,0.3024,53.9301
141.1224,0.3002,52.3917
141.2748,0.2981,49.7878
141.4272,0.3124,50.6212
141.5796,0.3542,51.2
141.732,0.4828,50.8834
141.8844,0.5479,53.8271
142.0368,0.4565,56.9938
142.1892,0.333,53.8493
142.3416,0.2835,52.6314
142.494,0.3053,50.273
142.6464,0.305,48.0682
142.7988,0.2929,47.3029
142.9512,0.3024,48.4
143.1036,0.2763,48.4
143.256,0.2962,48.4
143.4084,0.429,48.4
143.5608,0.4837,48.4956
143.7132,0.4302,48.6709
143.8656,0.3832,48.8462
144.018,0.3594,48.6334
144.1704,0.3694,47.2
144.3228,0.3717,47.2339
144.4752,0.3726,47.3663
144.6276,0.376,47.4912
144.78,0.3733,47.6
144.9324,0.3783,47.6
145.0848,0.3629,48.9924
145.2372,0.299,50.5089
145.3896,0.2603,51.2
145.542,0.2993,51.2
145.6944,0.3425,47.7577
145.8468,0.3913,46.091
145.9992,0.4845,45.9556
146.1516,0.5269,47.757
146.304,0.4479,48.4509
146.4564,0.3918,47.8758
146.6088,0.3923,47.444
146.7612,0.3637,47.0
146.9136,0.3457,47.2626
147.066,0.356,46.4459
147.2184,0.3667,45.2555
147.3708,0.3677,44.065
147.5232,0.3641,43.8
147.6756,0.3829,43.6071
147.828,0.4408,43.2199
147.9804,0.6597,44.2119
148.1328,0.8922,45.2039
148.2852,1.0508,46.1958
148.4376,1.0667,46.4
148.59,0.7682,46.5374
148.7424,0.574,47.1877
148.8948,0.5933,47.5553
149.0472,0.5821,47.923
149.1996,0.4884,48.1229
149.352,0.4185,47.6
149.5044,0.46,47.3468
149.6568,0.5191,47.4417
149.8092,0.5169,49.275
149.9616,0.51,51.1084
150.114,0.5031,52.5349
150.2664,0.4963,52.8
150.4188,0.4894,52.9818
150.5712,0.4825,56.3519
150.7236,0.4756,59.8974
150.876,0.4687,60.2939
151.0284,0.4618,56.8131
151.1808,0.455,53.3323
151.3332,0.4481,55.0
151.4856,0.4412,55.1066
151.638,0.4343,55.2518
151.7904,0.4484,53.8095
151.9428,0.4651,52.3672
152.0952,0.4657,50.6
152.2476,0.4667,50.394
152.4,0.4708,50.237
152.5524,0.4706,51.1298
152.7048,0.4732,52.0227
152.8572,0.4758,53.0
153.0096,0.4784,52.787
153.162,0.481,54.2181
153.3144,0.4836,55.5
153.4668,0.4862,52.6044
153.6192,0.4888,48.7198
153.7716,0.4914,45.4
153.924,0.494,45.8167
154.0764,0.4966,48.1117
154.2288,0.4992,49.8825
154.3812,0.5018,48.8209
154.5336,0.5044,46.7919
154.686,0.507,44.7629
154.8384,0.5096,42.734
154.9908,0.494,40.8403
155.1432,0.4898,39.742
155.2956,0.4775,38.8943
155.448,0.4416,38.75
155.6004,0.4269,39.4757
155.7528,0.4226,40.8064
155.9052,0.4116,42.137
156.0576,0.4198,43.4677
156.21,0.4648,44.7983
156.3624,0.4782,46.129
156.5148,0.4463,46.6608
156.6672,0.4945,45.6786
156.8196,0.6677,44.6965
156.972,0.868,45.3067
157.1244,0.9017,45.8
157.2768,0.7646,45.9818
157.4292,0.6622,45.4485
157.5816,0.6246,44.8652
157.734,0.6346,44.6
157.8864,0.5917,44.6
158.0388,0.47,44.5091
158.1912,0.3983,44.3424
158.3436,0.462,44.2
158.496,0.5595,44.2
158.6484,0.6287,46.3301
158.8008,0.6699,49.4248
158.9532,0.6743,52.2
159.1056,0.6914,52.2
159.258,0.7048,51.7947
159.4104,0.5881,47.7055
159.5628,0.4681,43.6163
159.7152,0.4952,42.4
159.8676,0.6422,42.1273
160.02,0.7553,41.6273
160.1724,0.7739,41.2
160.3248,0.7792,41.2
160.4772,0.8076,41.2636
160.6296,0.7924,41.7011
160.782,0.7707,42.1386
160.9344,0.749,41.5939
161.0868,0.732,40.8592
161.2392,0.7386,39.496
161.3916,0.7581,38.7455
161.544,0.7621,40.1497
161.6964,0.7602,41.7886
161.8488,0.7627,42.6
162.0012,0.7739,42.9454
162.1536,0.8021,41.1617
162.306,0.7534,39.7545
162.4584,0.6875,40.2
162.6108,0.6999,41.1731
162.7632,0.7286,41.5124
162.9156,0.7326,41.6098
163.068,0.7227,41.6935
163.2204,0.6942,42.9516
163.3728,0.6887,44.4198
163.5252,0.7081,44.7122
163.6776,0.6514,45.0422
163.83,0.5014,45.3815
