DEPT,TENS,CALI,BS,GR:1,GR:2,GR:3,PEFZ,RLA5,RLA0,RLA2,RXOZ,TNPH:1,RSOZ,RLA3,TNPH:2,RT,DT,RLA1,RXO,RLA4,NPHI,GR:4,RHOZ
1161.136,2499.5,8.631,8.5,107.238,91.432,101.687,2.558,24.122,0.091,7.985,0.972,0.316,0.0,13.727,0.318,34.747,124.618,3.951,1.606,18.785,0.326,94.415,2.239
1161.288,2408.625,8.641,8.5,106.87,95.958,110.588,2.575,23.644,0.09,8.009,0.942,0.331,0.0,13.644,0.333,34.073,124.223,4.025,1.653,18.459,0.329,94.89,2.234
1161.44,2405.937,8.689,8.5,108.134,94.013,107.582,2.587,22.832,0.089,7.96,0.942,0.337,0.0,13.38,0.338,32.738,122.837,4.007,1.64,17.866,0.328,98.254,2.228
1161.593,2458.25,8.708,8.5,110.866,94.753,104.253,2.589,22.35,0.087,8.036,0.935,0.34,0.0,13.182,0.341,31.285,122.34,3.751,1.428,17.476,0.336,89.177,2.229
1161.745,2453.875,8.689,8.5,111.01,92.369,118.322,2.593,21.231,0.086,7.753,0.996,0.355,0.0,12.593,0.355,29.539,122.36,3.57,1.34,16.6,0.339,96.57,2.251
1161.898,2427.312,8.669,8.5,114.874,93.633,108.551,2.661,20.168,0.087,7.494,1.136,0.351,0.0,12.178,0.351,28.395,120.671,3.658,1.447,15.839,0.34,90.918,2.273
1162.05,2425.0,8.679,8.5,112.264,91.285,117.282,2.756,20.516,0.09,7.707,1.408,0.352,0.0,12.54,0.352,29.087,116.572,3.908,1.592,16.139,0.326,92.143,2.289
1162.202,2421.939,8.72,8.5,113.881,92.515,111.146,2.807,18.25,0.09,6.912,1.386,0.334,0.004,11.188,0.334,26.018,116.746,3.638,1.532,14.39,0.306,90.09,2.293
1162.355,2421.687,8.727,8.5,111.798,91.386,113.04,2.806,18.14,0.091,6.799,1.356,0.308,0.0,11.0,0.308,25.957,115.545,3.594,1.532,14.293,0.306,94.693,2.296
1162.507,2439.732,8.746,8.5,114.252,97.239,111.266,2.784,19.149,0.093,7.125,1.335,0.309,0.001,11.451,0.308,27.559,115.148,3.782,1.642,15.071,0.299,88.415,2.305
