DEPTH,BS,CALI,GR,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
176.174,12.25,,57.622,,,,,,,
176.327,12.25,,56.412,,,,,,,
176.479,12.25,,49.996,,,,,,,
176.632,12.25,,44.703,,,,,,,
176.784,12.25,,42.554,,,,,,,
176.936,12.25,,44.837,,,,,,,
177.089,12.25,,49.841,,,,,,,
177.241,12.25,,54.074,,,,,,,
177.394,12.25,,55.349,,,,,,,
177.546,12.25,,53.501,,,,,,,
177.698,12.25,,50.788,,,,,,,
177.851,12.25,,49.297,,,,,,,
178.003,12.25,,47.011,,,,,,,
178.156,12.25,,45.961,,,,,,,
178.308,12.25,,49.598,,,,,,,
178.46,12.25,,53.032,,,,,,,
178.613,12.25,,53.128,,,,,,,
178.765,12.25,,47.477,,,,,,,
178.918,12.25,,42.246,,,,,,,
179.07,12.25,,40.269,,,,,,,
179.222,12.25,,39.099,,,,,,,
179.375,12.25,,39.226,,,,,,,
179.527,12.25,,41.51,,,,,,,
179.68,12.25,,46.274,,,,,,,
179.832,12.25,,51.878,,,,,,,
