DEPT,GR,ROP
173.1264,72.3712,19.7075
173.2788,72.8724,19.1061
173.4312,72.035,19.2698
173.5836,73.2546,19.5248
173.736,72.8026,19.7895
173.8884,72.8667,19.5864
174.0408,74.2778,19.7597
174.1932,74.3403,19.5856
174.3456,75.3208,18.8105
174.498,73.7867,18.4186
174.6504,73.2262,17.5276
174.8028,73.6349,17.5565
174.9552,75.0937,16.748
175.1076,76.678,16.9501
175.26,76.2346,17.4025
175.4124,74.6275,16.7287
175.5648,74.1609,17.3736
175.7172,73.9754,17.8164
175.8696,76.2605,16.9817
176.022,78.2484,17.4559
176.1744,77.9498,17.8741
176.3268,78.3736,17.4346
176.4792,77.0723,18.2982
176.6316,76.2048,18.4861
176.784,75.3646,18.134
176.9364,73.2981,18.4709
177.0888,71.6184,19.2938
177.2412,71.1226,19.4985
177.3936,70.6377,21.1226
177.546,71.7499,23.9847
177.6984,72.9119,24.7528
177.8508,72.5302,27.624
178.0032,74.1369,28.8167
178.1556,74.9607,27.3536
178.308,74.655,25.969
178.4604,75.8065,24.5059
178.6128,75.6238,22.2839
178.7652,75.1232,21.1866
178.9176,74.8906,20.766
179.07,74.1854,20.4441
179.2224,75.7454,20.8772
179.3748,76.0,21.166
179.5272,76.7303,20.3454
179.6796,76.0614,19.9775
179.832,73.7129,20.1429
179.9844,73.0999,19.4401
180.1368,72.3635,19.8425
180.2892,70.5392,19.239
180.4416,72.6313,18.8976
180.594,73.9642,29.6554
180.7464,74.0254,31.0318
180.8988,75.8583,31.8211
181.0512,75.5698,32.8799
181.2036,73.8944,23.0337
181.356,74.423,21.7444
181.5084,73.9694,21.6347
181.6608,73.6879,22.0279
181.8132,72.4458,21.275
181.9656,71.985,20.9267
182.118,73.0094,21.0138
182.2704,73.1926,20.0471
182.4228,72.9933,19.9252
182.5752,74.5505,19.2198
182.7276,73.8321,19.8991
182.88,74.8116,21.1096
183.0324,76.1296,20.83
183.1848,75.2163,21.1409
183.3372,76.4499,20.702
183.4896,77.1277,20.574
183.642,75.7121,21.2964
183.7944,75.3584,20.9441
183.9468,73.9807,21.0861
184.0992,72.0577,19.9156
184.2516,72.9974,19.1933
184.404,73.6696,19.1061
184.5564,75.7002,20.0162
184.7088,75.0513,19.7222
184.8612,76.4218,21.0408
185.0136,77.2815,20.9809
185.166,78.2782,20.6289
185.3184,79.9743,20.5923
