DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,DSLL,DDLL,SPDL,MRRS,HVOL,AVOL,NPOR,NPRS,NPRD,DPOR,DPRL,DPRS,DPRD,BIT
2331.1,51.494572,3447.265625,118.095497,0.314738,8.247559,0.090285,2.473799,3.433903,89.891571,5.594172,5.844561,92.401047,4.098703,0.121582,0.033901,0.29549,0.375653,0.286221,0.138129,0.138129,0.106788,0.211872,8.5
2331.2,51.454575,3452.148438,118.586388,0.3134,8.238194,0.095468,2.470278,3.420019,89.559067,5.531217,5.801963,92.346344,4.049861,0.121351,0.033669,0.294091,0.374416,0.284993,0.140188,0.140188,0.108922,0.213755,8.5
2331.3,51.521515,3447.265625,118.968575,0.310107,8.231847,0.101334,2.466032,3.425757,89.20446,5.467064,5.75454,92.32811,4.01418,0.121202,0.03352,0.290895,0.371404,0.281971,0.142671,0.142671,0.111496,0.216026,8.5
2331.4,51.474213,3461.914063,119.60096,0.310362,8.228108,0.107835,2.461509,3.369393,88.954475,5.400461,5.705677,92.340256,3.983748,0.121128,0.033446,0.291086,0.371627,0.282206,0.145316,0.145316,0.114237,0.218444,8.5
2331.5,51.447746,3481.445313,119.81826,0.312616,8.226827,0.113862,2.458954,3.312785,88.954536,5.331045,5.658388,92.325066,3.9417,0.121104,0.033423,0.293189,0.373662,0.284274,0.14681,0.14681,0.115785,0.219811,8.5
2331.6,51.552185,3496.09375,117.898117,0.318354,8.226504,0.116314,2.456007,3.251971,89.266106,5.263845,5.617141,92.413185,3.892472,0.1211,0.033418,0.298599,0.378873,0.28954,0.148534,0.148534,0.117572,0.221387,8.5
2331.7,51.522976,3496.09375,115.008499,0.323117,8.226502,0.114218,2.450785,3.241905,89.857109,5.204536,5.586893,92.592484,3.850049,0.121117,0.033435,0.303105,0.383217,0.293911,0.151588,0.151588,0.120736,0.224179,8.5
2331.8,51.468163,3466.796875,112.634781,0.326388,8.22766,0.109889,2.446467,3.230333,90.568748,5.158942,5.568883,92.738335,3.819323,0.121194,0.033512,0.306216,0.386216,0.296912,0.154113,0.154113,0.123354,0.226488,8.5
2331.9,51.582825,3471.679688,112.007668,0.325682,8.231758,0.104687,2.443419,3.253634,91.243156,5.135394,5.559859,92.771759,3.809559,0.121361,0.03368,0.305588,0.385597,0.296263,0.155895,0.155895,0.1252,0.228118,8.5
2332.0,51.484764,3476.5625,110.674339,0.323309,8.239017,0.100858,2.440377,3.323242,91.718575,5.138316,5.556015,92.780876,3.822246,0.121586,0.033905,0.303393,0.383466,0.294085,0.157675,0.157675,0.127045,0.229745,8.5
