DEPT,CGXT,SMTU,GRGC,NPRL,CLDC,DCOR,DEN,PDPE,DT35,SPDL,MRRS,HP01,HP02,HDP3,HDPT,HDP4,HDP5,HDP6,HVOL,AVOL,BIT
98.2,30.268199,683.597798,34.045148,0.456683,8.763269,-0.779914,1.495847,14.576428,48.895875,218.367863,0.156488,95989.644688,95989.644688,95989.644688,95989.644688,95989.644688,95989.644688,95989.644688,0.13742,0.049738,12.25
98.3,30.22145,688.472501,33.357163,0.467762,8.763362,-0.772194,1.499773,14.308771,48.85102,218.79621,0.156723,97984.718951,97984.718951,97984.718951,97984.718951,97984.718951,97984.718951,97984.718951,0.137423,0.049741,12.25
98.4,30.405938,683.597824,33.715202,0.508088,8.763464,-0.76794,1.499601,14.100189,48.827267,219.115295,0.156889,102314.773766,102314.773766,102314.773766,102314.773766,102314.773766,102314.773766,102314.773766,0.137426,0.049745,12.25
98.5,30.157676,688.468389,33.947461,0.566369,8.763576,-0.768626,1.491758,13.865765,48.81358,219.44339,0.156918,105967.504045,105967.504045,105967.504045,105967.504045,105967.504045,105967.504045,105967.504045,0.137429,0.049747,12.25
98.6,30.243689,678.715037,34.202421,0.629987,8.763621,-0.770936,1.483966,13.857995,48.799929,219.662148,0.156763,98890.05325,98890.05325,98890.05325,98890.05325,98890.05325,98890.05325,98890.05325,0.137428,0.049747,12.25
98.7,30.359576,683.597862,33.555176,0.683444,8.763547,-0.773405,1.478372,13.884819,48.811224,219.853572,0.156621,95021.724886,95021.724886,95021.724886,95021.724886,95021.724886,95021.724886,95021.724886,0.137426,0.049744,12.25
98.8,30.378149,688.476563,33.287143,0.712611,8.763465,-0.774974,1.477429,13.969366,48.84077,220.011626,0.15635,96349.079611,96349.079611,96349.079611,96349.079611,96349.079611,96349.079611,96349.079611,0.137423,0.049742,12.25
98.9,30.191322,688.476563,32.419617,0.707939,8.763387,-0.777537,1.474653,14.00591,48.898197,220.227443,0.156275,101085.830479,101085.830479,101085.830479,101085.830479,101085.830479,101085.830479,101085.830479,0.137422,0.04974,12.25
99.0,30.235654,688.476563,32.033241,0.687847,8.763386,-0.779936,1.471874,14.045535,48.956949,220.510005,0.156224,106620.338186,106620.338186,106620.338186,106620.338186,106620.338186,106620.338186,106620.338186,0.137421,0.049739,12.25
99.1,30.366786,688.476563,32.194902,0.673084,8.763326,-0.782004,1.468757,14.032324,49.012665,220.756151,0.156309,102789.448386,102789.448386,102789.448386,102789.448386,102789.448386,102789.448386,102789.448386,0.137417,0.049736,12.25
