DEPT,BS,CALI,GR,RESS,RESM,RESD,DENS,NEUT,PEF,DTC
106.832,12.25,,41.099,,,,,,,
106.985,12.25,,38.792,,,,,,,
107.137,12.25,,38.024,,,,,,,
107.29,12.25,,38.269,,,,,,,
107.442,12.25,,40.882,,,,,,,
107.594,12.25,,39.038,,,,,,,
107.747,12.25,,37.674,,,,,,,
107.899,12.25,,36.29,,,,,,,
108.052,12.25,,38.457,,,,,,,
108.204,12.25,,39.072,,,,,,,
108.356,12.25,,39.821,,,,,,,
108.509,12.25,,38.75,,,,,,,
108.661,12.25,,40.924,,,,,,,
108.814,12.25,,39.98,,,,,,,
108.966,12.25,,40.631,,,,,,,
109.118,12.25,,38.672,,,,,,,
109.271,12.25,,40.036,,,,,,,
109.423,12.25,,39.519,,,,,,,
109.576,12.25,,40.616,,,,,,,
109.728,12.25,,41.749,,,,,,,
109.88,12.25,,40.323,,,,,,,
110.033,12.25,,38.171,,,,,,,
110.185,12.25,,34.77,,,,,,,
110.338,12.25,,36.579,,,,,,,
110.49,12.25,,39.386,,,,,,,
110.642,12.25,,41.406,,,,,,,
110.795,12.25,,40.484,,,,,,,
110.947,12.25,,39.1,,,,,,,
111.1,12.25,,39.232,,,,,,,
111.252,12.25,,40.288,,,,,,,
111.404,12.25,,39.491,,,,,,,
111.557,12.25,,42.435,,,,,,,
111.709,12.25,,42.413,,,,,,,
111.862,12.25,,41.343,,,,,,,
112.014,12.25,,35.675,,,,,,,
112.166,12.25,,36.416,,,,,,,
112.319,12.25,,37.357,,,,,,,
112.471,12.25,,40.435,,,,,,,
112.624,12.25,,37.962,,,,,,,
112.776,12.25,,36.905,,,,,,,
112.928,12.25,,34.77,,,,,,,
113.081,12.25,,34.389,,,,,,,
113.233,12.25,,34.56,,,,,,,
113.386,12.25,,31.758,,,,,,,
113.538,12.25,,28.684,,,,,,,
113.69,12.25,,28.07,,,,,,,
113.843,12.25,,30.083,,,,,,,
113.995,12.25,,33.368,,,,,,,
114.148,12.25,,33.355,,,,,,,
114.3,12.25,,34.141,,,,,,,
114.452,12.25,,34.315,,,,,,,
114.605,12.25,,33.27,,,,,,,
114.757,12.25,,33.886,,,,,,,
114.91,12.25,,34.445,,,,,,,
115.062,12.25,,35.367,,,,,,,
115.214,12.25,,35.675,,,,,,,
115.367,12.25,,37.04,,,,,,,
115.519,12.25,,38.135,,,,,,,
115.672,12.25,,37.008,,,,,,,
115.824,12.25,,33.931,,,,,,,
115.976,12.25,,33.379,,,,,,,
116.129,12.25,,33.295,,,,,,,
116.281,12.25,,34.025,,,,,,,
116.434,12.25,,35.022,,,,,,,
116.586,12.25,,37.176,,,,,,,
116.738,12.25,,40.631,,,,,,,
116.891,12.25,,39.248,,,,,,,
117.043,12.25,,38.037,,,,,,,
117.196,12.25,,33.693,,,,,,,
117.348,12.25,,35.06,,,,,,,
117.5,12.25,,34.378,,,,,,,
117.653,12.25,,36.034,,,,,,,
117.805,12.25,,34.686,,,,,,,
117.958,12.25,,35.629,,,,,,,
118.11,12.25,,34.417,,,,,,,
118.262,12.25,,33.128,,,,,,,
118.415,12.25,,32.387,,,,,,,
118.567,12.25,,32.53,,,,,,,
118.72,12.25,,35.512,,,,,,,
118.872,12.25,,33.438,,,,,,,
119.024,12.25,,36.234,,,,,,,
119.177,12.25,,33.774,,,,,,,
119.329,12.25,,35.154,,,,,,,
119.482,12.25,,35.787,,,,,,,
119.634,12.25,,37.501,,,,,,,
119.786,12.25,,34.966,,,,,,,
119.939,12.25,,32.096,,,,,,,
120.091,12.25,,32.994,,,,,,,
120.244,12.25,,36.108,,,,,,,
120.396,12.25,,37.115,,,,,,,
120.548,12.25,,37.213,,,,,,,
120.701,12.25,,38.406,,,,,,,
120.853,12.25,,34.602,,,,,,,
121.006,12.25,,33.41,,,,,,,
121.158,12.25,,31.553,,,,,,,
121.31,12.25,,34.434,,,,,,,
121.463,12.25,,36.29,,,,,,,
121.615,12.25,,37.087,,,,,,,
121.768,12.25,,35.307,,,,,,,
121.92,12.25,,33.145,,,,,,,
122.072,12.25,,33.204,,,,,,,
122.225,12.25,,36.504,,,,,,,
122.377,12.25,,36.928,,,,,,,
122.53,12.25,,34.43,,,,,,,
122.682,12.25,,31.509,,,,,,,
122.834,12.25,,29.734,,,,,,,
122.987,12.25,,31.763,,,,,,,
123.139,12.25,,31.385,,,,,,,
123.292,12.25,,31.898,,,,,,,
123.444,12.25,,30.461,,,,,,,
123.596,12.25,,31.931,,,,,,,
123.749,12.25,,32.208,,,,,,,
123.901,12.25,,31.772,,,,,,,
124.054,12.25,,29.021,,,,,,,
124.206,12.25,,29.006,,,,,,,
124.358,12.25,,30.91,,,,,,,
124.511,12.25,,33.746,,,,,,,
124.663,12.25,,31.777,,,,,,,
124.816,12.25,,30.866,,,,,,,
124.968,12.25,,31.705,,,,,,,
125.12,12.25,,34.529,,,,,,,
125.273,12.25,,36.038,,,,,,,
125.425,12.25,,34.5,,,,,,,
125.578,12.25,,34.734,,,,,,,
125.73,12.25,,35.339,,,,,,,
125.882,12.25,,37.031,,,,,,,
126.035,12.25,,39.974,,,,,,,
126.187,12.25,,38.331,,,,,,,
126.34,12.25,,37.059,,,,,,,
126.492,12.25,,33.959,,,,,,,
126.644,12.25,,37.822,,,,,,,
126.797,12.25,,42.629,,,,,,,
126.949,12.25,,46.047,,,,,,,
127.102,12.25,,46.047,,,,,,,
127.254,12.25,,44.971,,,,,,,
127.406,12.25,,44.496,,,,,,,
127.559,12.25,,43.937,,,,,,,
127.711,12.25,,44.655,,,,,,,
127.864,12.25,,45.116,,,,,,,
128.016,12.25,,44.138,,,,,,,
128.168,12.25,,42.057,,,,,,,
128.321,12.25,,41.609,,,,,,,
128.473,12.25,,42.497,,,,,,,
128.626,12.25,,41.127,,,,,,,
128.778,12.25,,35.954,,,,,,,
128.93,12.25,,31.495,,,,,,,
129.083,12.25,,30.952,,,,,,,
129.235,12.25,,30.501,,,,,,,
129.388,12.25,,31.856,,,,,,,
129.54,12.25,,30.403,,,,,,,
129.692,12.25,,34.455,,,,,,,
129.845,12.25,,34.193,,,,,,,
129.997,12.25,,37.165,,,,,,,
130.15,12.25,,35.899,,,,,,,
130.302,12.25,,35.759,,,,,,,
130.454,12.25,,35.553,,,,,,,
130.607,12.25,,34.584,,,,,,,
130.759,12.25,,34.008,,,,,,,
130.912,12.25,,30.027,,,,,,,
131.064,12.25,,31.409,,,,,,,
131.216,12.25,,35.371,,,,,,,
131.369,12.25,,43.886,,,,,,,
131.521,12.25,,49.5,,,,,,,
131.674,12.25,,55.315,,,,,,,
131.826,12.25,,54.198,,,,,,,
131.978,12.25,,52.408,,,,,,,
132.131,12.25,,49.486,,,,,,,
132.283,12.25,,50.465,,,,,,,
132.436,12.25,,52.702,,,,,,,
132.588,12.25,,52.562,,,,,,,
132.74,12.25,,54.575,,,,,,,
132.893,12.25,,56.449,,,,,,,
133.045,12.25,,60.373,,,,,,,
133.198,12.25,,60.569,,,,,,,
133.35,12.25,,61.274,,,,,,,
133.502,12.25,,57.987,,,,,,,
133.655,12.25,,57.455,,,,,,,
133.807,12.25,,55.973,,,,,,,
133.96,12.25,,60.673,,,,,,,
134.112,12.25,,59.048,,,,,,,
